Q9UI38	A6NKF1
Q96QH2	Q09472
P0C2W1	P55316
Q9HDC9	P56645
P82970	O75787
P02730	P42285
Q9UHB4	P12757
P19429	Q8TD19
Q8NCA5	Q9NXG2
Q13698	Q92974
Q8NE09	P48023
O75564	Q9NWT6
Q5JTH9	P17735
P22059	Q9Y237
Q9BYR8	Q9Y467
P49116	Q9P0P0
O75478	Q96MN5
Q92522	P46937
Q6DN90	O00221
Q9HDC9	P20936
Q9NS56	Q8IW19
P49756	P48023
Q3ZAQ7	O15111
Q7L590	Q96F07
Q99536	Q9H074
P11441	Q969P6
P17677	Q13435
P17040	Q9BSF8
Q9UNM6	Q5JTC6
Q16513	Q16401
P12081	Q13435
P12757	P16435
Q9UM11	P04921
P26358	Q86X19
Q9NZM5	P04198
P02730	P51003
Q9UL15	O14492
O00422	Q9P2J5
Q03701	Q15750
O75937	P12757
Q2NKX9	Q13118
Q9UDY8	P62879
P29372	Q8N5Z5
P35658	O00515
Q8N201	O15228
Q9Y291	P11473
Q9P015	Q99615
O14639	Q13158
Q86SQ0	Q9BZF3
Q6AHZ1	Q9UDY8
P49005	Q5JTV8
O95721	O75604
O14576	O14544
P11171	Q8NDV7
Q9BWC9	Q99583
Q9UNW1	Q9C005
P23634	Q8IX07
Q969P6	Q8WYQ5
O95989	P49356
P52565	Q9UDX3
O94875	Q15750
Q8WW38	P49336
Q8IVB5	O14576
P78345	Q8WWY3
O14733	Q9H8T0
O75564	Q9BZE1
Q13158	Q9NP77
Q16270	P46087
Q9BQ67	Q9NXG2
O76041	O00541
O14646	Q9H9J4
O00750	Q9UNM6
Q9P2G9	P49715
Q9Y2W2	P29372
Q16799	P35520
Q92995	Q2Q1W2
Q8TBZ2	Q9HCH0
Q15744	Q9Y5B0
P48556	Q5JTC6
Q27J81	O75534
Q8IYD8	Q5XPI4
Q8N9T8	Q96L91
O14492	Q8N114
Q9UGN5	P82251
P15924	P49754
Q9BTA9	P57060
Q13442	Q92974
Q9P015	Q6DN90
O75564	Q5T4S7
Q14690	Q96LI5
Q9BYW2	P52565
Q8IYE0	Q969P6
Q14135	Q99504
O14770	Q9Y2L9
Q7Z6Z7	Q10586
Q9Y5Q9	Q9NS69
Q96BZ8	Q8IUD2
Q01804	P49757
Q13905	Q7L3B6
Q5JTC6	O95257
O60674	Q70J99
Q13627	Q06546
Q9UPN3	Q16799
Q7Z6Z7	P47929
Q9H501	O15164
Q92995	P00558
Q9ULW0	Q15032
P35249	Q9BZF3
Q9UNW1	Q4G0J3
P23511	Q14566
P09651	P29474
Q15750	O94761
P51116	Q96FF9
P61758	P07602
Q9UFC0	Q9NXF1
Q01968	Q9H2U1
O43488	Q92851
O14776	Q6PKG0
O75970	Q16611
Q99569	Q7KZ85
P49918	P49754
Q9HCM4	Q96EV2
Q96LZ3	P17040
Q9NXG2	P18146
Q9NYA1	Q9NYQ6
O00161	O75787
Q9H1I8	Q9UQN3
Q8N5S1	Q01780
Q9NYB0	Q9UDY8
P50895	O94761
P49116	Q13233
Q96PU4	O75787
P78364	O60356
Q96HT8	P04198
P54259	Q86Y33
Q9H1R3	Q9P0P0
A2RUS2	Q9HCG8
O43169	P22531
O00458	Q13118
Q9P2R3	Q9P227
P49901	O14639
O14544	P10071
Q13144	Q13127
P62266	Q53GL0
Q9GZM7	Q9UPQ9
Q01831	Q96BT3
Q9UP38	P11474
O43169	Q9NPI1
A0AV96	Q9H444
Q9P0U4	Q9UJW3
Q15428	Q99593
Q92995	O14810
O75970	Q9Y2W1
Q9NPG3	Q9UHX1
Q8TBN0	P12814
P47736	Q9Y241
Q5VV63	Q8IWU2
Q15942	Q96QK1
P83111	Q13698
Q86X55	Q13200
Q8IY63	Q9UBC9
Q16667	P48039
Q9ULW0	Q12982
P62266	P12814
Q9NXF1	P23276
Q12952	Q9H8T0
Q9GZR7	Q9UKV8
Q6P2H3	P48023
Q96RU2	Q92831
Q00872	O75901
P57740	Q14674
Q8TBN0	Q13148
P49790	Q6UB99
Q9UDY8	O95865
Q9NRC8	Q15836
Q9UHB4	Q9GZR2
Q70EL2	Q01094
O14639	P39023
Q6P2H3	Q9HA38
Q10586	Q96BT7
Q8NHZ7	O15126
Q9UQ26	Q9BZF3
Q86VM9	Q9H254
P09496	Q9BRS2
Q8IVB5	Q96AG4
Q08378	Q9UKT7
Q9NR09	Q9H2G9
Q9BRT9	Q9BZS1
Q08379	Q9NRC8
Q9H9J4	O43929
Q12980	P63104
P52952	P82673
Q96KR6	P49757
O94913	Q9NTK5
O60885	Q8TDZ2
Q6RSH7	Q15233
O60264	Q8IX07
Q15738	Q9NRI5
O15399	P54105
O14513	Q9BYR8
P37198	O60238
Q9NXF1	Q96DE5
O43593	P00558
Q5VV17	Q8IV08
Q8N6N3	Q9H501
Q15750	P78539
Q9UNW1	Q9NWT6
Q6NYC8	O15273
Q13303	O60869
Q9BVP2	Q9P015
Q8N5S1	Q9HD26
P0C2W1	P05023
Q9Y6X6	Q9UBW7
Q96BT7	Q9Y5Y6
Q9NVS9	O14965
A2RUS2	Q96IF1
Q8TBN0	P55265
O15446	P50895
Q13085	O95376
Q7Z7E8	O95400
Q86WX3	P33992
P20936	Q01201
Q9Y6V0	O15479
P17040	Q2VPK5
Q9UM73	P04198
Q53GT1	P09651
P34897	O43929
Q6P3S6	Q9BXU1
O60356	P08151
O15399	Q9Y291
Q9UEY8	P35558
Q8N9T8	Q15738
P0C1Z6	Q13516
Q96GY3	O43638
Q969H0	Q86Y33
Q9UJ04	P11474
Q8NCF5	Q9BRS2
P0DPD6	P04183
Q99536	P84074
Q5XUX0	O75147
Q13772	Q13574
P48023	Q6P2E9
O60356	Q8WVZ9
O96017	P37198
Q8WZ73	O14544
Q96E09	Q9H9J4
Q13772	Q9H3U1
P52272	O15530
Q8IYE0	Q9NQG5
O15265	Q13200
Q15542	O15228
O75312	Q13516
Q15758	Q9UI38
P62316	Q86U70
Q92888	Q6VMQ6
Q9UGN5	P04075
P38919	Q9H9J4
Q8N6N3	Q96G27
Q96G27	P47756
Q5JU00	P55011
Q12967	Q9NRI5
P14854	Q8IV08
P16949	Q96MA6
P61927	O60264
Q99593	O00625
Q6RSH7	O95425
Q92888	Q13618
P0C1Z6	Q9H9S0
Q9UFC0	Q96S94
Q8NHZ7	P49841
Q9BRT9	P52272
Q9Y222	Q9H501
Q99608	Q8N137
P83111	O75486
P82673	Q15468
P47914	Q96BZ8
Q2NL98	P18146
Q96M02	Q9BSW2
Q9H6Z4	Q15836
Q96CT2	O15228
Q9H4A6	P15924
Q7L590	Q8N6M0
Q9HCG8	Q8N5M4
P07476	Q15637
Q5SY16	O95376
Q8N488	P55347
Q96K58	Q9UI38
Q16514	O75530
Q86YV9	Q9P2F8
Q6PGQ7	O75787
O43719	Q96S44
Q9UK80	P48039
Q86UW6	O14776
Q6PHW0	P07602
Q9GZR2	Q5UIP0
Q96K58	Q5T0W9
P02549	Q96MN5
Q9UPW0	Q9H814
O75970	Q9Y675
Q9H204	Q9Y5X4
Q02241	Q99996
Q96DI7	P62316
P17040	Q9Y2L9
Q8NHY2	Q6PKG0
Q9BZW7	O15550
P41212	Q14103
Q8N6M0	O00221
Q86YD7	Q8IYD8
P78317	P35268
Q96PM5	O00116
Q8WY36	P61221
P53567	Q92541
P37231	P78539
Q12766	Q7L2Z9
Q9BRX9	Q86V15
Q8N1B3	P48039
Q5VSY0	Q5VV67
O60356	O43290
Q8TDZ2	Q9UKY7
Q9C0K0	Q8N6S5
P10109	Q9BV73
Q96KB5	P62854
Q3SY00	P67809
Q9H2S5	P48023
P48039	O00303
Q09472	P82673
Q9Y2W2	P55072
O00422	Q9H1E3
Q9H307	Q8WVZ9
Q9H211	P34897
Q70EL2	P04632
Q3ZCQ8	P52948
Q9NXG0	Q96GY3
Q05066	Q16821
Q9HC78	Q9BYR8
O95817	Q08378
Q9NXF1	Q9BYW2
Q9UGN5	Q99757
Q9NWK9	Q5T0W9
O75970	Q93052
P49915	Q5T0W9
Q12931	Q8TB36
Q68E01	Q99583
Q53GT1	Q5M775
P53367	Q9NXG2
O43719	P98177
Q9NZU5	Q5JTH9
Q3YBR2	Q00341
A0JLT2	O75901
Q8N1B3	P37231
Q9UDV6	O14776
Q49MG5	Q53GT1
P07307	Q5U5Q3
Q96S55	Q96LI5
P42858	P09429
P48539	Q9UI38
P09429	O14908
Q9P031	P48788
Q13153	Q93074
P51178	Q8NCP5
Q9HCH0	P28702
Q8TBN0	P49207
Q04724	P34897
Q13144	Q9NQI0
P00736	Q9BZD6
Q16667	Q8IVB5
Q9H221	O94906
P42356	Q8NFC6
Q6P996	Q96J92
Q9NXG0	P00918
P22415	Q9HCU9
O43719	Q2NKX8
A6NHR9	Q86UX2
Q15046	Q9BUQ8
O75122	P49354
P48039	P50553
O00515	Q9NS69
P54259	Q5JTC6
O75530	Q9P258
Q5XPI4	P47710
P22415	Q86Y82
P54920	O43303
O14939	Q8IV08
Q9UBF9	O60220
Q9UNQ2	O14544
Q7L590	Q9H095
Q5D1E8	P30622
Q9UK76	Q9HCH5
Q9NVS9	P46089
Q9GZR2	Q96F24
Q6RSH7	Q9Y570
P33993	Q8IWU2
Q9ULH1	P19447
Q96AQ6	P81408
O15055	P62316
Q6PCD5	Q9BRS2
Q15906	O14776
P49711	P50895
Q9H0E3	Q9BYR8
O43236	Q92541
Q8N108	Q9NRZ9
O14543	Q9NZ52
Q01968	Q9UKX7
Q96ST3	Q9UGN5
Q9HAU5	Q9NR09
Q9H501	Q9BV73
Q8WW38	Q8NBB4
Q92541	Q13464
Q8N3Y1	Q8NCP5
Q8N6M0	Q14566
P37198	Q14674
Q96S94	Q53HL2
Q8TD19	P49841
Q6RSH7	P50458
O75122	P25963
P07199	Q99569
Q9Y3B8	Q92766
Q06945	Q9P2F8
Q16623	P27816
Q8WY36	Q92541
P62277	Q99967
Q9UK80	P67809
Q8WW38	O14744
P27816	Q9NZ81
Q8WUZ0	Q96BT7
Q96DH6	Q9Y2D8
P49901	P23588
Q08378	Q9Y5M8
Q96KR6	P35558
P25054	Q96G27
P51116	Q9Y2U8
Q2NKX9	Q9NYQ6
Q96FN4	Q96MN5
Q07021	Q96S94
O00267	Q8NE71
P54687	Q6ULP2
O14544	Q15562
A6NIV6	Q96BT3
A0AV96	Q13823
O15399	P54920
O43865	O15273
Q9NRR5	Q9UBF9
Q9HCH0	Q9H1E3
O14770	Q9Y2S7
P78559	Q99608
Q8N1B3	P54687
O95251	Q9BXJ5
Q9UI14	Q8NCP5
Q13627	P15880
O95251	Q8TF42
Q9UGN5	Q2NKX8
Q9H307	P16104
Q9H501	Q9UN36
Q9H4A6	Q6PCB8
Q13724	Q16611
Q9H4A6	Q6ZT12
Q01968	Q96CT2
P49116	P04264
Q15020	P28223
Q9NS56	Q13838
Q92851	Q5D1E8
Q9Y520	Q16595
Q7RTS6	O00515
Q9GZR7	Q8WW12
Q86YD7	P15927
Q9Y3M2	Q9NZ52
Q8ND82	O15530
Q96RU2	O00458
O14576	P49715
Q9NTK5	P10244
Q9NPI1	Q8IZQ1
Q9GZR2	P61247
P78317	P24864
Q9NXG0	Q96K58
P30626	Q86Y33
Q9H1I8	P04818
P52594	Q9HCH0
P29966	Q96JN0
O75940	Q9NQG5
Q9UH99	P68402
Q16851	Q99741
Q8NHY2	Q9NZM5
Q8IX07	P12814
Q9P015	Q86VP6
P49915	Q5JTV8
P08235	Q14566
Q6PGP7	Q5JTH9
Q9Y2D8	Q9BZF3
Q9Y5Q9	Q05519
Q9UGN5	Q07812
O00237	Q96QK1
Q9NRC8	Q01484
P13645	P61221
Q9UDY8	Q96DY7
P05814	Q8IWU2
O95721	Q9NQB0
O95376	Q01538
Q86X53	Q9HCH5
Q96GY3	Q96PV0
Q69YH5	P49790
Q16619	Q16799
Q15633	Q96AE4
O60902	Q9NP77
Q13772	Q96DF8
P35498	O14519
Q9H4A6	Q2NKX8
Q8IWS0	P37198
Q6RSH7	P08235
Q9BXQ6	Q8TF72
Q7Z6Z7	Q8TDC3
P49321	Q15008
Q9GZR2	O94811
P11274	Q9H2C0
Q92541	Q9BSH4
Q96CA5	O95376
Q8IY63	P17987
Q6DKK2	P61244
P12757	Q96C00
Q15843	P61964
P99999	Q9HCI5
Q9BWE0	Q96MN5
P52948	Q14145
Q9NYQ6	O00487
Q9NP66	P53041
O75122	Q12934
Q96IF1	Q9UI38
P29084	Q9Y2T1
Q9Y6J0	Q9H3U1
Q99593	Q9Y6K1
Q9ULV3	Q9H8T0
Q12834	Q9BSW2
Q99708	Q9UIC8
P55316	O75694
Q13144	Q9NZM5
Q01101	P55347
P20749	P27816
Q9NVI1	P23508
Q5VT06	Q92541
P42356	Q13239
O75970	P31260
Q9GZR7	P25054
Q03468	O60563
Q96G27	P34925
Q96PV0	Q9NVN8
Q5XPI4	Q9HD26
Q16204	Q9NXG2
Q5MNZ9	Q8IXK0
Q9NP66	Q8TD19
Q9GZM7	Q9UJW3
O15530	Q9P212
O95486	P50895
Q6IAA8	Q5JTV8
P22736	Q8IWU2
Q70EL2	P53805
Q92541	O95425
Q16512	O00221
Q86YD7	Q9UKK3
Q06546	P63104
P25791	Q9Y6J0
P30622	Q8N205
O43638	P55345
Q8IV08	Q13043
O14733	Q9UJW3
Q7KZI7	Q96G27
Q01804	Q63ZY3
Q5T1R4	Q14566
Q2NL98	Q9H773
P40424	P54274
O15105	Q9H6Z4
P20749	P22531
Q03701	Q12766
Q7Z3B4	Q9NP77
P48039	Q16619
Q9H840	Q14103
P62277	Q15257
O75937	Q9NRC8
P25208	Q8N6S5
O00267	O75564
Q70J99	P0C862
Q02952	P61221
Q9Y5S9	Q9UKA4
Q9NX09	Q5T0W9
P25791	P56645
Q96KB5	O14788
Q9H5N1	Q5XPI4
O15156	Q8N6S5
Q70EL2	P27695
Q9ULW0	O95835
O60716	P49790
Q9NTK5	Q9Y385
P49321	Q96HA1
Q96DF8	O60447
Q9UBB6	O75564
Q9Y3B7	Q9Y467
Q96G27	Q9Y468
Q6P9B9	O95400
Q9NVD7	Q92731
Q15744	Q9NYA1
Q13772	Q969V6
Q9Y6J0	Q9P0K8
Q9BX70	Q8NCP5
P78317	Q16143
O76041	Q13158
Q6EMB2	Q8N5Z5
P55072	Q5JTV8
Q9NP77	Q8IUD2
Q9Y2T1	Q9P013
P11274	Q9UIM3
Q96GM8	Q96LI5
Q13148	Q5VSY0
O14544	Q15038
Q7L2Z9	Q9HCM4
Q8WVV4	Q9Y6X6
P82094	Q9BPY3
O00418	Q9NVE4
Q9Y6J0	Q9H8V3
O00750	Q13868
Q12931	O60447
Q9Y3A4	P26196
Q8NE09	Q9NS56
P29558	Q99996
O00750	Q9NR30
Q5JU00	Q96S59
Q9UI38	P06576
Q96JP5	Q12872
Q9NPG3	Q9UP83
Q9GZU8	Q9P2F8
Q15287	Q9GZR2
Q9BSF8	Q8N5Z5
Q4G0J3	Q96JN0
Q9UNW1	P07108
P01857	O15479
Q8N0W5	O95400
P49321	O14901
O95376	Q99418
Q9GZR7	Q13136
O43186	Q86Y33
P56645	Q6ZT12
Q13627	Q99598
Q8WW38	Q9H2G4
P07476	Q16799
Q8N5M4	Q3YBR2
O94986	Q14566
Q8IY63	Q99558
O95251	Q12769
P82094	Q14203
Q9Y376	Q5JTV8
Q15633	P30307
O60573	Q92766
Q12931	Q6RSH7
Q13263	Q9BRS2
Q9NPG3	P49901
