Q02790	Q9UKY1
Q86VM9	P54619
Q9H3Q1	Q9NSY1
O15111	Q9P0K8
Q96QD9	P99999
Q96LI5	Q86U70
P11473	Q9UJP4
P07307	Q6U841
P29966	Q9NS87
Q86X53	Q9Y5S9
Q9H0F6	Q92989
O94992	Q5VYS8
P07954	Q8WWH5
Q92619	Q8WZ19
P29372	Q01094
Q12962	Q9GZR7
P40926	Q8N5S1
P52952	Q86WQ0
Q9UBD5	Q9UBF2
Q5SW96	P43363
Q8NI08	Q9BYE7
Q8NF91	P78364
Q8TF42	Q92973
Q9UBP6	O75354
Q99836	Q9UBU7
Q9UNL2	O60481
Q8ND82	Q99558
P49757	Q8NBJ5
P84101	O14976
Q96MA6	Q9UBF2
Q8WZ73	P29372
P52732	O75132
Q9UBB5	P16455
Q9H2G9	A1XBS5
P84074	Q96M83
Q96QD9	P58107
Q6P996	Q13868
Q9BVQ7	Q92804
Q8TD20	Q9H9S0
P36543	Q5MJ70
O15085	Q8TF01
Q6P2Q9	A1A519
Q8WWM7	Q5VUA4
Q8IVL1	Q9NP77
Q96MA6	P43694
O14770	P52824
Q9P2Y4	Q92995
Q7Z699	Q9Y295
P85037	Q14669
A1XBS5	Q86WQ0
Q16854	Q8NHZ7
Q14320	Q9Y570
Q9UL17	Q9H074
Q9UBP6	Q9Y2H0
P17677	O15273
Q9H4A3	Q96P66
O15055	Q96QD9
Q01538	O60927
Q12756	Q9Y675
Q9NQ87	Q14147
P28340	Q96P70
P08397	O60716
P0C0L4	Q9NP77
Q9P287	P42858
Q9UNE7	Q96NJ5
Q8IZL8	Q9UM73
Q9NVN8	Q9NVW2
O75558	Q9UBD5
Q86UT5	Q92973
P19793	O00203
Q9BXB1	Q9BYR8
Q9Y5K8	Q00839
P13797	Q2NKX8
Q13239	Q93052
Q8NA72	Q6DKK2
Q86X53	Q9H2M9
Q5QP82	Q9H221
P33981	P52824
Q9BRK5	Q02241
Q9GZU8	Q14103
Q96F07	Q9BVQ7
P35250	P49750
Q8ND82	P62195
O95863	O95257
Q02548	Q9BSF8
P61952	P48023
P35606	Q5VT06
P85037	Q5VT52
Q9H832	Q8IZU0
Q8IUH3	O43399
Q7Z5R6	Q15418
Q15466	O14492
O00303	Q8N5U6
Q9H410	Q13635
Q9Y5Q9	Q9BXQ6
P29372	Q96G74
Q53GT1	Q9Y2V7
Q14449	O14901
Q66K89	Q71F23
P84074	Q99569
Q9BT78	P22087
Q9BYW2	O75031
Q7Z5K2	Q99856
P23760	Q15170
O43257	Q9NSV4
P14868	Q12888
Q9NPI1	P29372
P40926	Q13148
Q96LZ3	Q99961
Q9Y6V0	Q96JK9
Q96C00	P17844
Q7Z7F7	Q9UQ35
Q9BVP2	Q9BQ67
Q9GZR1	Q9UQ13
Q9H3Q1	Q13620
P22736	P49757
Q5MJ70	P13797
P61081	P28702
P08195	O75347
Q8ND82	Q9H444
O95926	Q96KR6
Q86X53	Q9P013
Q13228	P82673
Q8IUF1	P51948
Q6P4R8	Q9BTV4
Q13029	Q15418
O15399	O60568
Q14449	P55316
P22681	Q9NQG5
P34925	Q96J92
Q7Z2W9	O94842
Q15648	P23760
O14744	P55345
Q8TES7	Q9UJA5
Q12962	P55212
Q9H410	Q99801
Q96PM9	Q9BZF3
P14635	Q68DK7
Q53GS9	Q9BTC0
P35222	Q9NP77
Q13287	P35659
O60927	Q9UKY1
Q9UK76	Q9HA38
P54253	Q8IZU0
P50851	Q9ULU8
Q96M86	O75145
O95243	Q96LI5
Q9GZU7	Q96FV9
Q9BYJ9	P84074
Q8N9T8	Q9Y6I3
Q9Y5Q9	Q9NPQ8
Q9NRZ9	Q9NZJ7
P05114	Q96RR1
Q96JN0	Q96GG9
P17612	Q96GM8
Q9Y3T9	Q9NYF8
Q8IXK0	P51948
Q14203	O75533
Q8N543	Q9UBU7
O75694	O43699
Q8N137	Q6P1M3
Q14203	O15042
Q9BZ95	Q12934
Q53GS9	Q5VWP3
P82251	Q8IX07
P78345	P49116
Q9BYJ9	P62861
O95863	Q8N3R9
P17028	Q8WXF7
P00736	Q99961
Q15404	P31645
Q6ULP2	Q13228
Q969Q0	Q9UBN7
Q68CL5	O75478
Q14722	Q9H3Q1
P12036	Q9HB71
Q9NZ52	Q9Y2U8
Q8N6M0	P19429
P28360	Q93052
Q9NYQ6	Q9H9Z2
P62750	Q9H9D4
P47756	Q96GG9
Q7Z2W9	P24592
O43699	P05204
Q9NZJ7	P62851
Q8NHZ7	P43243
Q13772	Q99708
Q7L4P6	Q96S55
Q9H4G0	Q6R327
Q02548	Q8TD17
Q9UBB9	O43699
Q53HL2	O60645
Q969F2	Q9UHY1
O60684	Q13573
Q86UE4	Q9UBB5
P47736	Q99757
Q96FV9	Q8NCP5
Q8TF42	A1XBS5
Q9NZ52	O60346
O75486	O14976
O75478	Q9P0K8
P52565	O94880
Q4G0J3	Q96M83
Q9BQ67	P49354
O60716	Q8IYE0
Q16270	P47736
Q15910	Q99569
O15273	O95486
Q8NCF5	Q6PID8
Q9GZU7	Q8NBB4
Q8N344	Q96FV2
Q7Z3B4	P17252
O15372	Q2NKX8
Q9NRZ9	O00221
Q8WVV9	P49454
P46734	Q8N5A5
Q9UJP4	Q7Z7A1
Q9NVN8	P49116
Q16584	P82673
O95926	Q9NXE8
P16949	Q5VZL5
Q6ULP2	Q8IZQ8
Q9NXS2	Q6P2Q9
Q9HCM9	P05423
Q14320	Q9NVE7
Q12756	Q9UKT5
Q9Y262	P22736
P11473	O60568
Q96DU7	Q07021
Q9UMS4	P51648
O00409	Q9UM13
P22681	O43709
P46734	Q8IWJ2
Q13905	Q16851
O95989	P40222
O75182	Q99569
Q5SW96	O75147
O15534	Q16799
O94762	O60684
P47756	P42677
Q8N2I9	A1XBS5
Q6NUN9	Q9P0K8
Q8N2M8	Q9HAU5
Q96QD9	Q8WTP8
O95863	O43559
P49715	Q6NXR4
Q99618	P82673
Q13114	Q969P6
Q86YP4	O14508
Q9BRK5	Q9UJU2
Q9P227	Q8WXF7
Q9NYZ3	P29558
O60244	Q5SY16
Q13123	O60645
P39023	Q15003
Q9HCI5	Q9BRK5
Q9UNQ2	Q9Y520
P46527	Q8N7J2
Q9UJP4	Q9Y6X6
Q04760	P52952
Q9Y295	Q16832
O96017	Q9Y262
Q5VT52	Q5SY16
Q12756	P12314
Q12888	Q9Y3A4
Q9P2Y4	P29474
O43422	P82673
O95238	Q9Y222
Q6PKC3	P54619
Q9NRI5	P49750
O00409	Q96IZ7
O14519	P29375
Q86V48	O15530
A6NHR9	Q9NSV4
Q8IUH3	O15446
Q9BRK5	Q8IWJ2
Q9BV40	Q13029
Q8NHZ7	Q9NYB0
Q9UNW1	Q96Q27
P23760	Q9UKT5
Q9BQ24	Q14103
Q8IVB5	P14868
O75031	Q99418
O00193	Q9NSI2
Q8N2M8	Q15003
O43699	Q9BTU6
Q93074	Q9H3Q1
P52948	Q9ULV3
Q92934	O95863
Q6PGP7	O14492
Q9H1I8	Q9HC62
P20309	Q9H3Q1
P40926	O75901
Q96QH2	Q9BTC0
P56715	P21333
Q9UBB9	Q8WVZ9
O95989	Q15361
Q7Z7F7	Q92541
Q96NL6	Q13546
O00409	P10276
P42285	Q9NVW2
Q16513	Q13613
Q15041	Q9UQ13
P14868	Q8N6S5
P49715	Q13772
P11717	P26651
P51648	Q15738
Q99549	Q9Y295
Q9HA38	Q16836
Q9NPJ6	O95926
Q9BX66	Q70J99
P33992	Q7Z5R6
Q8N6M0	P82094
O60341	P46379
Q9UHC7	Q9Y3A4
Q8WWH5	Q9Y3M2
Q12756	O75688
O15360	P30049
O00409	Q01130
Q16514	Q9UQN3
P47756	Q9NXG0
Q7L4I2	P41212
P54132	Q96H72
Q08379	Q96RR1
P17931	O00401
Q7L4P6	Q86TI2
Q7L2J0	Q14103
Q9Y620	O00401
O60902	Q9HDC9
O00411	Q92619
Q96BK5	Q6PGQ7
Q9UBP6	Q9UHD8
P81408	P07199
Q8WW38	O00193
O43399	Q99942
O75379	Q8IWX8
Q9H944	Q9UQ13
Q96GA3	P17028
Q9UKK3	P24592
Q9UII4	P52926
P48634	Q12931
Q96NJ5	Q16143
Q12872	O75347
Q9H8T0	Q92793
Q9BXB1	Q13158
Q6IAA8	Q9Y295
Q9NTJ3	O43699
O96017	O43169
Q16625	O95340
Q68CL5	Q8WY36
O43524	Q8N1G4
P22681	Q8TBC4
P61952	Q9UBD5
O95243	Q9H9E3
O14519	Q96CS3
Q8N1B3	Q5SY16
P50895	Q9GZM7
P52926	A7KAX9
Q08378	Q9H223
Q14320	Q86V81
Q9NVI1	Q9UKA4
O94762	Q8IY57
P42166	Q92900
Q9NRL2	Q14684
Q9H944	O15457
O14654	P30626
Q8WYA6	Q99848
P02730	Q96M83
Q7Z6G3	Q9BTC0
Q96Q83	Q13422
Q9UDX3	P52952
P51116	Q9ULH1
P46063	Q9Y620
O75128	P61927
Q8IYB3	O60645
Q99961	Q9NR30
P19622	Q9C086
Q9HC62	Q9NPF5
Q96NY9	Q8WUM0
P78563	Q9UGN5
Q9Y3B8	Q15032
Q9H2U1	Q2NKX8
P06396	Q9NYZ3
P12081	Q5JU00
Q9HDC9	Q9H7B2
Q9P127	Q15738
P78317	Q16832
Q9UH73	Q9NQI0
Q96H55	Q9P2Y4
Q9NS23	Q9NQ33
O00401	Q9P0K8
P62277	Q9Y620
Q8ND82	O60869
O15085	Q13868
Q96M86	O94875
P36543	Q99569
Q96LI5	P15408
Q8N5L8	Q9UKT7
Q9P1W9	Q92547
Q9Y2U8	O75379
P35268	Q9BTC0
P34925	Q8TB36
Q9UPR6	Q68EM7
Q8WV16	P09086
O15530	Q9NZ94
Q9P227	Q9UQ13
P55081	Q9Y295
Q9Y6Q9	O60941
O94762	Q96RK1
P20936	Q9NP77
P06730	Q2NKX8
P30519	P00918
P48431	Q93052
P0C0L4	O75347
P41212	Q15038
O75474	Q96JN0
Q14103	A2RRL7
Q96N46	Q5VT52
Q9ULU4	O15530
Q8IXT5	Q5VYS8
O94906	Q9NP77
Q86YP4	Q92844
Q16625	Q9C0B0
Q9Y3A4	Q8IYE0
Q96FW1	Q9Y2H0
P20936	P09086
O95926	P62913
Q9UGN5	Q9UBC9
O60610	Q8TAP6
Q8NDC0	Q01101
O95197	P78317
Q9UBP6	Q96BN2
O00411	Q9H410
O75396	O43699
Q8NDC4	Q9BXM7
Q9BZF3	P36956
Q8IUH3	Q96CX2
Q53GI3	P48023
Q96NY9	Q9UKK3
Q13561	Q15038
P55055	P35520
Q86Y13	Q9H3Q1
Q8N6M0	Q13303
Q96AQ9	Q96JP2
Q6NUQ1	Q96S59
Q8IVB5	Q8N5U6
Q14676	O43638
Q96RR1	P40424
Q8NI08	Q9Y2N7
Q8TF42	Q9NP77
Q8ND82	Q1KMD3
P11717	Q96JP2
Q9UJP4	O75391
Q7L4I2	Q96GG9
Q9Y2I8	Q9Y663
Q2NKX8	P49736
O43172	Q9UI36
P23760	P41236
Q9NX70	Q8WVZ9
Q9Y620	Q96PV0
Q86U42	Q99961
O00264	Q8TD20
Q7Z3K3	Q96MA6
Q6P4R8	P35250
Q8WZ73	P51948
Q15532	Q15653
Q9UKJ5	Q12756
Q7RTS1	Q7L2Z9
Q86U42	Q9NS87
Q9UEY8	P47756
Q6P2Q9	Q9NRX1
P51116	Q8IWX8
Q9UGL1	Q07021
P46734	Q9Y606
Q9UHX1	Q9NP81
Q16851	O75362
A1XBS5	Q9UGU0
Q96CN7	Q6PGQ7
Q7L2J0	Q9NSV4
Q8WVV4	Q93052
Q9Y5U2	Q9HDC9
P04637	Q9H6S3
O15399	Q5SY16
Q9UJV9	P49750
P09543	Q00839
O15126	Q14134
O75558	Q8N9T8
P46527	P61927
Q9NWV8	O43301
P49757	Q96BR9
Q6PGP7	Q93009
Q9BXM7	P15880
Q96QD9	Q86U86
Q13573	Q86TC9
Q96ER3	Q13526
P24588	Q8IWU2
Q96CT2	P28223
Q12874	Q9UIG0
Q1KMD3	Q5U5Q3
Q9Y5N6	Q96KP1
P42166	P99999
Q9UKL3	Q13546
Q9NYF8	P0DPB3
Q9UI38	Q9HCC0
Q9C086	Q9BTU6
Q7LFL8	Q9BVQ7
Q9NYQ6	Q01484
Q9Y241	Q15032
P54259	Q86Y13
Q9NVR5	Q8WYA6
Q8WUZ0	P09496
P33993	P46379
P34925	Q99750
O43172	Q00987
Q5MJ70	O60902
Q9H773	Q99961
Q9GZT5	O75354
O43699	Q96CT7
Q5T447	P22059
P20290	Q6P4R8
Q96NB3	O94966
P54920	Q9BXM7
Q99933	Q96Q27
O60476	P55345
Q5TDH0	Q96JK9
Q7L190	Q96KM6
Q9HCM9	Q9BVQ7
Q9UNE7	Q15738
Q16626	P42858
Q9P2Y4	Q7KZ85
Q9HCD5	O14654
Q9Y663	Q9H444
Q06210	P46527
Q92900	Q6PID8
P48788	Q96PV0
Q9H074	Q9UIF7
Q6XD76	Q9P2K8
Q9HAU5	Q9NQG5
Q96FV9	O43699
Q86WJ1	Q59H18
P35251	Q9H4A3
Q9UJ14	Q8N0W5
Q9BQ67	Q16595
P51116	Q9Y2W1
Q96JN0	Q6PCD5
P52594	Q6P4R8
Q99708	Q9HAU5
Q00577	Q15032
Q8N344	Q9Y3E7
Q96DI7	Q13490
O75145	P53350
P49802	O60447
Q9UBU7	Q6AHZ1
P49903	Q9BTA9
Q16513	P42772
Q9BVQ7	Q8NBB4
P35228	Q9NP77
Q7Z5R6	Q96G74
Q8N344	P33991
Q68CL5	P02730
Q6ZT12	Q5VYS8
A0FGR9	Q6P4R8
P55347	Q8WXF7
Q15653	Q13794
Q96M86	Q96C00
Q12756	Q92630
P17844	Q14669
Q14320	Q92630
Q16513	Q13702
O94986	Q9HAU5
Q9BRK5	P82251
Q53GT1	Q15435
Q96N46	Q96SB4
Q2VPK5	P54619
P20823	Q96N46
Q9UBU7	Q9ULV3
Q01538	Q9NYF0
Q13239	Q9UBU7
Q9H410	Q66K89
Q6ZRS2	O43169
Q8N5Z5	Q9Y3A4
P78317	Q8IXH7
O75312	Q96RR1
Q9H147	P31645
Q96S55	Q96MA6
Q6AI12	P46379
Q9H223	Q96KR6
P20810	Q8IWS0
Q7LG56	Q16851
Q15198	Q9Y222
Q9BXM7	Q14807
P16389	Q14289
Q96M86	Q9H0S4
Q8NDC0	Q9UKK9
P48735	Q9UBN7
Q5SY16	Q99814
Q7Z3U7	Q13546
Q13868	Q9H4L4
O75694	Q9H3Q1
Q13263	P52926
Q01101	Q9NPQ8
Q9BQA1	P54619
O94826	O60447
Q5T447	Q9UKL0
Q9P2F8	O60356
Q9UBU7	Q8IWU2
Q96GA3	P40818
O00555	Q9HAU5
Q6ZT12	Q9Y3A4
Q09161	Q9UIG0
Q5QJE6	O94880
Q8IYB3	O75128
O14654	P34897
Q14061	Q9BRS2
P50895	Q96ST2
Q96JC9	O60684
Q9P2K8	Q8TDC0
P14868	Q01101
Q9UI14	Q9H6S3
P16949	Q9H2G9
Q13442	Q00872
Q14318	Q9Y262
Q8IWS0	Q01726
P54132	Q8NHZ8
Q8NBS9	Q9HCC0
O75347	Q9UDV6
Q9NYQ6	Q68CZ1
Q9UHY1	Q9UKT5
Q16514	Q03468
Q02297	Q13029
Q9UKY7	Q13868
Q7L2Z9	P48556
Q96BK5	Q16513
Q9HCC0	Q96FF9
Q8NI08	Q7Z6G3
Q9BVQ7	Q07869
Q7Z2W9	Q6UXH1
P84101	Q92888
Q96EP1	P21333
P61956	O75128
Q9UBB9	Q14289
Q9GZR2	Q9NS87
Q9UPW0	Q8NI35
Q9H0F6	Q96A65
Q96JN0	P09874
O60447	Q96S44
Q8N6M0	Q8N205
Q9UKK3	Q7Z699
Q8NE71	Q13227
Q9H221	Q5VWQ8
Q13228	P20585
P11717	P35520
P52948	Q14204
Q8IWS0	Q99598
Q92585	O15457
Q9NR09	P49757
Q9NZC9	Q8WUM0
Q14005	P0C1Z6
Q9UKT9	P05423
Q9UNQ2	Q9Y2J2
Q5XPI4	Q5VV17
Q5UIP0	Q9UQ13
Q99081	Q9NP77
Q53GT1	O43251
P01040	Q16513
Q6DKK2	P62316
Q5SYC1	Q9BRR8
Q00872	Q14061
O43638	Q92466
Q16513	Q8NBJ5
Q06609	P42858
Q96LI5	P04062
Q02086	Q8NI35
Q02218	Q9Y3A4
P23511	O43719
