Q9HBH7	Q9H410
Q9H4A3	O75486
P42858	Q96QD9
Q7RTS1	Q96CN7
O43513	P11274
Q9Y291	Q6P4R8
P37198	Q86WQ0
O75398	P62081
Q7Z699	Q96NL6
Q7Z699	Q9GZR2
Q7L4P6	Q9H501
P61964	P48444
Q9H8V3	Q96PV6
P61964	Q02878
Q9UQ13	Q96JC9
Q8N944	Q8IWX8
Q14061	O15232
P43363	Q9GZT9
Q13287	Q96LI5
Q13620	P13807
Q86UT5	Q96GX5
Q14722	Q9UNI6
Q13263	P51668
Q9Y2J2	Q9NS69
Q8TAB5	P19793
Q9UBE8	Q13435
P30304	Q9NX46
Q9BQA1	Q5VT06
Q9HCM4	A6NKF1
O43597	Q13123
Q8WVZ9	Q15046
P16435	Q96L08
Q4VCS5	Q9UBL3
Q9Y2K2	Q13635
Q9NRR4	Q6VMQ6
Q8TBZ2	P24592
Q9NQ33	Q96GR2
Q15910	Q92886
Q9H6S0	O94826
Q86X53	P11387
Q9Y2W2	Q96PU8
P07919	P29558
Q9P2K1	Q86SQ0
Q14241	Q5VIR6
Q96KP1	Q7RTS1
Q96JP5	Q9NYA1
P49915	P62910
Q9UBS0	Q9H869
Q9NYY8	O43318
Q15404	O75486
P49756	Q96ST3
Q9Y496	Q6PID8
P51948	Q5VT06
P54687	Q3ZAQ7
Q9UNI6	P31260
P29966	O95983
Q8N6I1	Q10586
Q13469	Q9UK80
Q96DB5	Q2M1K9
Q9NUD5	Q9UJY1
P49756	Q6UN15
P35030	Q6ZU65
P84074	Q8ND82
Q9C086	Q15032
P43699	Q5VT06
Q9H9Z2	Q9NQL2
Q9UH73	Q9H4L4
Q53EZ4	P10071
P49756	Q7KZI7
Q9UK80	Q10571
Q8WZ19	O95816
Q96A56	O95257
O00161	O43521
Q9UJY5	Q8WV16
Q92932	P51693
Q15198	Q14320
Q71F23	P11387
P51116	P25208
Q5VT06	Q86TI2
Q9H8S9	Q96PM5
Q8NEY1	Q8WWH5
P30304	P62273
P10070	Q07812
O43768	Q6DN90
O00488	P42285
O14974	Q96HT8
Q9Y237	P62081
P78537	Q15361
P42285	P29966
Q99961	P46531
Q7KZ85	Q9NZT2
Q2M1K9	Q9NXG0
P13645	P54105
Q8WY36	O75354
Q9UBE8	Q15056
Q8NA72	P61952
Q9H8S9	Q9ULU4
Q12933	O14654
Q9Y3M2	P04183
P14868	O60610
Q6P2Q9	Q9H0F6
Q6P2Q9	O75145
Q9Y5K8	P68402
P10070	Q96FW1
Q7Z699	Q15032
O75398	Q96GR2
Q13838	Q96NB3
P08397	Q9P0L9
Q12905	P28799
Q8WV28	Q53GI3
Q8N6I1	Q9H1Z9
Q9NQL9	P42677
Q14135	Q3ZCQ8
Q6PI78	Q15750
P41250	P46939
Q04637	P29590
Q9NVW2	O75815
P12036	P42677
P62277	Q9NSV4
O75122	Q9BRT9
Q99618	Q9BVP2
P11387	Q6NYC8
Q8NA72	P78563
Q13263	Q9NSV4
O14508	P52565
Q96QD9	Q8TDC0
Q9H4B6	P47897
Q96BK5	Q92614
Q5VZL5	O43488
Q07021	Q13029
Q9Y2W2	P17612
P08235	Q02363
P52926	Q13751
O75787	O15151
Q9UK80	Q9UKJ3
Q9Y446	Q9BUZ4
O60902	Q9NWB6
Q96PU8	Q9UBY9
Q96BT7	O94822
O95336	Q7RTS1
Q96S59	Q9UJY1
Q99757	Q9H944
Q9P2K8	Q86Y82
Q9NWM3	Q14674
P20749	O43583
P54253	Q9BZD6
Q9Y3C5	Q5M9N0
Q9BV79	P51608
Q8WZ73	O14682
Q96CA5	Q8NHZ8
Q9UHX1	Q8NCN4
Q86X55	Q13352
Q9UBF9	P04062
Q9UNQ2	Q9Y2V7
Q9HCG8	Q9H8V3
Q96S55	Q00577
Q5T447	P42677
Q8N4N3	O00237
Q86YP4	Q9P2G9
P08235	Q14444
Q9NX70	Q8NCP5
O15304	O95243
Q9HCG8	Q7L590
Q9P1Y6	Q96S55
Q8IUD2	Q9UBE8
Q96CS3	Q9UBE8
Q13263	Q01538
O60684	Q9NUW8
Q14807	Q14320
Q00987	Q86Y82
Q7Z3B3	O00762
Q16204	Q7Z6Z7
Q9NTX7	Q8ND82
Q9NQG5	Q9BQS8
P17040	Q9NRY5
P26196	O94826
P07919	P28072
Q14145	P32745
O60869	Q9P2R6
P82970	Q9Y3M2
Q99743	Q9Y6X8
Q96RN5	O00161
Q9NZT2	Q13432
O95721	Q8IXT5
P17931	Q9H9Z2
Q96Q83	P0C1Z6
Q9H8T0	Q96JP5
O94906	Q9UKX7
Q86SX6	P50151
O95999	O43251
Q9Y376	Q86WJ1
Q03468	Q9NQC3
P37840	Q96GM5
Q13490	P52565
Q9HCG8	Q9H9E3
Q9NX18	Q68CL5
Q8NA72	P55265
Q9UIF7	Q6ZQN5
Q96KR6	Q14232
O75182	Q9H4L7
O75821	Q13263
Q13422	Q9C0J8
Q7KZ85	Q96PV6
Q8N6S5	O96028
Q9UIM3	Q9H0F6
Q8N114	Q8N490
Q9H267	Q96PV6
Q15198	Q9BZF3
P04921	Q8NBZ0
Q9UJZ1	Q96NL6
Q96P66	P10070
P11171	P05155
Q86SQ0	Q5T0W9
Q9UIM3	P48431
Q86Y82	Q86TI2
P35568	O14810
P82970	Q9H9Z2
Q99759	Q9H4B6
P26358	Q96M02
P26196	Q9GZU2
Q96JP5	Q02446
P42285	P07199
Q9NX70	Q03468
P10589	O43301
Q13724	Q9NYA1
O60716	P21333
Q969P6	P11387
P28223	Q13751
Q8N6S5	Q9UEY8
O15234	Q9UJY1
Q9NWT6	Q9NY61
O00165	P25963
P01375	Q9NYY8
P08235	Q9HAH7
Q99836	Q86Y13
P62807	Q15008
O95153	O43488
P61978	O43929
P27816	Q13724
P54687	Q8IYS1
P78537	P49815
Q14676	Q9NVR5
Q9H074	Q07021
P32314	P01375
Q9UKX7	Q9GZV5
P46939	Q3ZCQ8
Q96DY7	Q9UJY1
Q8WWY3	O15294
Q9NVW2	P49757
P53567	P07476
Q93009	P47736
Q15637	Q9UMZ2
Q8IV08	Q8IY57
P54687	O43791
P82970	Q9NS73
Q8NCP5	Q8IYS1
Q8TDZ2	Q96NB3
Q9UQ13	Q69YQ0
Q8NFC6	Q92817
P07476	O95989
Q15041	O14682
P01871	O75354
P62807	Q9BYV6
Q8N114	Q9NPG3
Q9NPI1	Q96BR9
O14733	P42166
O15399	Q5VT06
Q8NA72	O75362
Q96AG4	P13807
P42704	Q96BK5
O43488	Q92541
Q8N5S1	P08195
Q9NZT2	Q96E09
P22415	Q8NI08
Q86U86	Q9GZT9
P40926	Q5VIR6
Q7L2J0	O15357
P20749	Q8WV28
P42285	P21579
A1A519	P29474
P26358	Q9UI14
Q92766	P63104
A1A519	P49321
Q5T749	Q6NUN9
Q6IE81	Q9Y6R4
Q59H18	Q96GG9
Q9UKT9	P11387
Q03468	P22531
Q92766	Q8N1G4
Q8TD20	O43169
Q8NFT6	O75592
Q9UH99	Q9Y6Y8
P35637	O00165
Q15198	Q96NB3
O15014	P80723
Q15834	Q9HCJ0
Q96BK5	O15105
P54687	P51648
Q96RU2	Q9NX18
O75122	Q8N137
Q9H2G4	Q8TAD4
Q7Z6Z7	Q8NF91
Q9H2S9	O00165
Q75QN2	P24592
O60296	P21333
Q96CT2	Q9Y6R4
Q9Y4K3	P17844
Q96L08	P50458
P47985	Q9Y6Y8
Q3SY00	O60684
O00401	P04062
P53350	Q5VT06
Q6DKK2	Q86Y13
Q99743	P10276
O14682	P49915
P22626	Q96RR1
Q9BTV4	Q8N488
Q92917	O00762
O43513	P07919
P42166	Q96IF1
P42345	P51693
Q9UBE8	Q9Y2U8
Q15468	Q14191
P62807	Q13123
Q9UPQ9	Q99569
Q96PU8	A8MV65
P42166	O43318
Q9BTV4	Q9BY77
Q5VT06	Q63ZY3
Q9H1R3	O95983
Q96KP1	P14635
Q96KP1	O43474
P07307	Q9Y5K8
Q03468	O43303
Q9Y5M8	P08670
P49756	Q7KZF4
Q8IW19	P16220
Q9UKY7	Q92766
Q6P1M3	P54619
Q92974	P32246
P30304	P49006
Q3SY00	Q9UDX3
Q99615	Q04760
A1XBS5	P06401
Q04637	Q9Y3T9
Q96A56	Q9NYZ3
P14854	P54259
O75558	P54259
Q9H4B6	P09874
O75122	Q9Y2U8
Q6P2Q9	Q13136
P54687	Q9Y2K7
Q9HBH7	Q5SYC1
Q9P031	Q8N1B3
P35568	Q99689
P17040	Q9UKY1
Q92932	Q9H944
Q9NZT2	Q13118
P05023	P08670
Q70J99	Q9UH99
Q9GZU8	P62081
Q04637	Q96I25
Q9BX70	Q15311
Q8NCP5	Q96JN8
Q9UNI6	P07307
O75592	P17735
Q6P2Q9	O00422
P08235	Q96CT7
Q59H18	Q63ZY3
O75533	Q93009
Q16270	Q96MF7
Q8WVZ9	O75182
Q92817	Q13887
Q9Y508	Q8NBZ0
Q9Y5Y6	Q7Z5K2
Q04724	O94761
Q96IK5	Q7KZI7
Q9NVW2	Q9H9J4
P11831	Q86Y13
Q8WZ42	P51003
O14613	Q9NS87
P35713	P23490
O75688	P33076
O94986	O00161
Q05823	Q8N6R1
P32246	Q96G27
O60476	Q03989
O75122	O14543
Q86WQ0	Q16821
P62910	O00233
P54687	P46531
P60896	P13805
O94811	Q9UBE8
Q96L08	P22736
Q9HA38	Q14145
Q5RKV6	Q86X55
Q14129	Q15637
O60346	Q9UJV9
Q6UUV9	O43768
P43243	Q6P4R8
Q13422	O95359
Q9BZV1	Q9HCI5
P30626	Q92973
P25208	Q03989
P62854	P11387
O15085	O76041
Q9Y376	P51946
Q92886	Q71F23
P42285	Q5XUX0
Q8WZ73	Q14135
Q9P2G9	P63104
Q99618	Q8IUC4
Q8NCN4	O14777
Q9BTV4	P51946
Q99700	P35568
Q8NA72	Q8N7H5
Q9UNL2	Q8N4C6
P62277	P07954
Q96BD6	O95376
Q9NS69	O15504
Q96A65	Q9UQ13
Q9NVW2	O15479
Q99501	P11831
Q8IY63	Q9BZF3
Q9H095	O60684
Q9Y4H2	P07476
Q15276	P04062
P41236	Q96PV6
O00193	P07476
Q7L2J0	P17677
P42772	P49354
Q13641	Q12905
O60516	Q15008
Q9GZT5	Q9Y3M2
O14682	Q14147
Q9NS69	P49715
Q9NS73	Q9Y399
O43768	Q96RU7
Q8N122	P47914
P62910	A0FGR9
P09496	P52565
Q8NHZ8	O00409
P16455	Q92766
Q96IV0	O75534
Q9BW85	Q9NP66
Q9H7B2	P54727
Q8IY67	Q6NUN9
P49757	Q86Y13
Q8NFC6	P49840
Q9UKX7	P04198
O75688	Q9UJY1
Q99618	Q9P1Y6
Q9P227	O95983
Q8IZ69	Q96S94
Q59H18	Q96HA7
Q13422	Q13526
Q02297	O60516
Q13546	P54105
Q9ULH1	Q6PI78
Q02790	O95983
Q9NX18	Q9NYZ3
Q9H0F5	Q04760
A1XBS5	P54278
Q8N4C6	Q8N1G4
P46087	P29084
Q9H944	Q92733
Q9NRR4	Q75QN2
Q8WW12	P05155
Q96BR9	Q9Y291
Q15637	Q01851
Q9Y6Y8	P23634
Q9NS73	Q9NP77
Q494U1	P51003
Q8NA92	P54725
P35030	Q13635
P25963	Q5M9N0
P62913	O75128
Q7L4P6	Q9UJA5
Q9H2G4	O43464
P62807	P20290
O60684	Q13118
O15126	Q9C086
Q9UHD8	Q53GI3
Q5VV63	Q9UH73
Q06546	Q8WWH5
Q9H5N1	Q9BZF3
Q5JTV8	Q8WWY3
Q01826	Q8NCP5
Q86YD7	Q8IY67
Q9NQG5	Q92886
P26639	Q53GI3
Q8N114	Q96BZ8
P01040	P52701
Q9H4L7	P61927
Q15428	Q9BUZ4
P29084	P13805
Q9UQ13	P49903
Q9P287	Q86XN8
Q8WTS6	Q9UNI6
Q9NX01	P19793
Q96F24	Q96LI5
O75354	Q9UKT7
Q2YD98	Q14690
Q9BSH4	Q8N5U6
Q8IXF0	Q9UP38
Q96RU2	Q8WV16
Q9UDX3	P10606
O14646	Q53GL0
Q9BVJ6	P30626
Q96G27	O95983
Q9GZU2	Q96BZ8
P04264	Q13131
P26196	Q8WVZ9
P49756	O60476
P54278	O43597
Q7Z699	Q9BRT9
Q96BZ8	O60516
Q9H6S0	P04062
P24592	P27816
Q92665	Q53GI3
P46531	Q8N6S5
Q9UDY8	Q8WVZ9
Q494U1	O14682
O94986	Q96L08
Q9BZ95	O60902
O95721	Q86SQ0
Q9BYV6	P62913
Q6NYC8	O00762
Q8N7J2	P62081
Q9HBH7	Q96N46
P17612	Q9NYQ6
Q8IX12	P32246
P10071	O60551
Q9NX18	O75379
O60568	Q53GI3
Q13263	Q9NWM3
O60936	P17844
P82673	P11387
Q68CP9	P10644
Q6PJW8	Q13352
Q9NX18	Q16633
O95139	Q9H1I8
O15234	Q9UJZ1
Q96FV2	Q9UBL3
Q14232	Q9NP66
Q9GZU8	Q9Y6Y8
Q9UBB5	Q9UBS0
Q93074	O43633
P53999	Q96PU8
P43351	Q92766
Q8NA72	Q9Y3C5
Q9UNQ2	Q8WW38
P01871	Q6P2Q9
P54105	Q9P0M9
Q16082	O75354
Q96BR9	Q8N1G4
P07919	P06576
P49840	Q9Y3A4
P05783	Q9C0J8
Q9H8S9	Q7Z5J4
Q6R327	Q8WWY3
Q15544	Q15834
Q8WVZ9	P63167
Q96BT7	O95817
Q8NDC4	Q03468
Q9NSI2	Q99942
O60869	Q8IX07
P41250	Q9Y376
Q96BD6	Q96NL6
Q8TD19	Q3SY00
Q9C086	P10636
Q96A57	P17677
Q96BK5	Q9Y2T1
P41223	Q96A56
Q96AE4	P11274
Q99569	Q9P287
Q8IUH5	Q12905
Q6IE81	O94761
P14866	Q9Y6Y8
Q93009	O60927
Q9BTC0	O75298
Q9BWX1	P04632
Q99942	O43251
Q86V48	Q9UIM3
Q6P1M3	Q96FS4
Q96Q83	Q9NWV8
Q9BTA9	Q8NA92
Q7LFX5	O14654
P01040	Q9BY77
Q9UBS0	Q9NRR5
Q8N944	Q9Y6H1
Q92886	Q9Y3U8
Q9P2K1	Q9GZT9
O75122	Q92733
Q8NA72	O60941
Q9UNQ2	P60896
Q13114	Q99683
Q9BXB1	O75787
O75569	Q9UKX7
Q9UIF7	Q9UKT9
