P23025	P20585
P09651	Q9BXP5
Q00987	Q13263
P49841	P62917
Q93009	Q01201
P19429	Q16082
P38936	O75496
Q9Y6Q9	P22736
Q8N488	Q6VMQ6
P52298	Q9H9Z2
P37840	O60716
P49841	Q9UBN7
P16949	Q96FW1
P60896	Q9GZQ8
O43464	P49768
P01100	P10589
P02545	P09874
P40337	Q09472
O60927	Q9H2U2
Q13573	Q96NB3
P40337	P04637
P46531	Q5VTD9
P02545	Q86UE4
P09651	Q92804
Q9HAU5	Q9H074
P09651	P42704
Q9NQB0	Q09472
Q00987	O75534
P49841	P04637
P25054	P63010
P51946	Q6P597
Q9Y5B0	O60244
P37840	O75821
P35637	P15923
P35637	Q13618
P53350	Q8IXK0
Q00987	Q06945
P04637	P25208
Q00987	P17844
P25963	O95999
Q93009	Q2YD98
P38936	O75398
Q9UER7	O15169
Q9HAU5	Q9BXB1
Q09472	Q15532
Q01844	Q9NSI2
Q13573	P20042
P25054	O43684
Q13573	Q9NTJ3
Q8WZ42	Q9GZQ8
Q09472	O43186
P08047	P17096
P35612	Q9Y2J0
P07476	P01040
P04637	O60551
P04637	O60841
P37840	Q9UJY1
Q9H2S9	O75182
Q9NQC3	P22736
Q9UGL1	P25791
P40337	P17844
P04150	Q9ULX9
P25963	P33992
P37840	Q09161
P04637	Q8IY67
P49841	P41236
P46527	P12931
P04637	Q9UPR3
Q01844	P09651
P51608	P08047
P37840	Q93008
Q93009	P42166
Q01844	Q96PZ0
P29353	Q93008
Q13573	Q86WJ1
P02545	Q5UIP0
P35869	Q15596
P04637	Q13233
P49841	Q15154
P14635	Q12834
P04637	Q6NZ67
Q09472	Q9P0U4
O14733	P62888
P04637	Q92831
Q9UKV8	P17844
P02545	Q86XP3
P14635	P38936
P38936	Q9BRK5
P52298	Q92900
P53350	O60271
Q93009	O15151
P49841	P54105
P08047	Q92988
Q49AN0	P46109
P20810	Q13136
Q09472	Q15699
P23025	Q9NS23
P35637	Q00839
P24522	P06748
P09651	Q8WXA9
P04637	Q03468
P40337	P09874
P52298	Q13523
Q02548	Q9UH73
P46531	Q9UM47
P08047	O60476
Q08209	Q9Y2K2
P40337	Q6AI12
P53350	O60296
P38936	Q92793
P14859	P10276
Q09472	P52701
Q00987	Q8WTS6
Q00987	Q15466
P04637	Q16611
Q13573	Q9UKK3
Q01844	Q8N5M1
Q9HAU5	P48788
P49841	Q9UHI6
O15169	Q13233
P63027	O00161
P41236	Q9Y2K7
Q8N488	Q13158
Q13573	Q13263
P04818	Q9BQ24
P04637	P38936
Q09472	Q8TAD8
Q9HAU5	Q9NZM5
Q49AN0	Q99614
P49841	Q14134
P17677	P32246
P01100	P51693
P29353	Q9H840
P04637	Q15746
P17096	Q03052
P15884	Q99081
P09651	Q14444
P14859	P40424
P04150	Q9UNE7
P49841	Q04724
P19429	Q13219
Q01844	P53992
O43464	P08670
Q13573	Q7L5N1
P04150	P29590
P25054	Q99814
Q00987	P17480
P51946	Q01831
P35637	O60506
P35611	Q7L190
Q00987	Q96PM5
Q9UJY5	P78559
Q00987	Q15648
P09651	O00418
Q00987	Q8IX12
Q14191	P12956
Q00987	P49757
P01100	Q15788
Q01844	Q13111
P35611	P06753
Q99801	P11387
Q9UER7	Q9Y2D8
Q13573	Q86VP6
Q01844	Q13620
P17096	Q9BXL5
P02545	P61081
Q00987	P42704
P14859	Q99728
Q01844	Q9UHX1
P40337	Q9HBH9
Q13573	Q9Y2W1
Q09472	P61956
P02545	O94842
Q13573	O14497
Q00987	Q99708
P40337	Q96IF1
P63027	Q15836
P08047	Q9NRR4
Q00987	P06748
P51608	Q96ST3
P04637	Q8N488
Q13573	Q96N46
Q93009	Q9NWV8
P25963	Q9UDV6
P63027	Q14157
Q9UKV8	P82251
P01100	Q9BU64
P09651	Q9UQ35
Q93009	P02545
P11387	Q00839
P04637	O94992
Q9Y6Q9	Q6PL18
Q9UER7	Q9UBU7
P14635	Q08050
Q00987	P49736
P11387	Q99728
Q09472	Q96RI1
Q13573	Q9UJA5
Q00987	Q15361
O75496	Q8N490
P41236	O60927
Q01844	Q01860
P15884	Q9UIQ6
P60896	P48634
P02545	P12956
P35637	Q4VCS5
P04818	P61956
P23025	P07992
P35637	Q8NCA5
P11387	O43684
Q13569	Q8TAD8
Q13573	Q15466
Q00987	Q8N7H5
P27695	Q12905
P15884	P47224
P40337	O43521
Q9UKV8	P06748
P53350	Q99708
P54725	Q96BR9
P04637	Q16637
O15350	Q15843
P53350	P06748
P54725	Q5T4S7
Q13573	A6NHR9
Q13573	Q9UNF1
Q00987	Q9Y5L4
P60896	Q9NRR5
P40337	O15524
P14635	Q6P597
P51608	Q9UKL0
Q9NQC3	Q9Y5P4
P04818	O00762
Q08209	P55072
P04637	Q6PCD5
P04637	Q96PM9
Q00987	Q8WXA9
P53350	P49736
Q13573	Q7Z5R6
P51608	P53350
Q00987	P53350
Q13573	O94913
P04150	P07199
Q13573	Q07666
P54725	P60896
Q9UKV8	Q96CT2
Q00987	Q9H832
Q13573	Q9UJV9
P29353	Q13905
Q9UER7	P11388
P11387	Q99801
P09651	Q12905
P61244	Q9NPF5
P60896	Q00839
P11387	Q92547
P11387	P17542
P09651	Q15843
P08047	P55209
P49841	P18847
P61328	Q13387
P14635	Q13573
P53350	P30307
P04637	Q15139
P38936	P00488
P08047	Q92793
Q01844	O75146
Q01844	Q99750
Q49AN0	P42166
P51608	Q71DI3
Q9Y6Q9	P06401
P08047	P20248
P46531	Q13526
P15884	Q9UIL1
P38936	Q96CV9
P25054	Q5T7W7
Q14449	Q96EP1
Q13573	O75694
Q13569	P61956
Q14191	P15927
P02545	O60264
P04150	O15511
O15350	P06400
Q00987	Q93009
Q9HAU5	Q15287
P02545	Q96RG2
P51608	P16220
P35637	Q8WYQ5
P46531	P98170
Q9Y6Q9	P20823
Q01844	Q96FW1
Q99801	Q02447
P11387	P22626
Q13573	Q96ST3
P61244	P15927
Q93009	Q13490
Q9UER7	P19338
Q8WZ42	Q86XR8
P35637	Q7L5N1
P04637	P49841
Q09472	Q49MG5
P04637	P52701
Q9UGL1	Q9NSY1
Q13573	P26368
Q01844	Q9NPC6
P04637	Q13573
Q9UER7	Q96EZ8
P02545	P46060
P37840	Q9UQF2
Q09161	Q13148
P35637	P26639
Q9UER7	Q13526
P19793	P15172
O43464	O95835
Q01844	Q96CT7
Q09161	P78344
Q00987	Q05519
P49354	Q9NQ87
Q93009	Q86SQ0
P25963	P09651
P35637	Q86VP6
P40337	P15170
P60896	P62195
Q14191	P55072
Q13573	Q9UKL0
Q00987	Q9UQ35
O15169	P49841
P49841	Q9NXS2
P25963	P17252
P25963	O14788
Q01844	Q9P013
Q9UKV8	Q8NDV7
O14733	Q99759
P49841	O60264
Q13573	P53350
P02545	P54278
P35637	Q6NXE6
P01100	P15408
P29353	P35268
Q13573	P62750
Q93009	Q2M1K9
Q49AN0	P19623
Q13573	Q9BW85
P04637	Q6EMB2
Q13573	Q9BTC0
Q09161	Q9Y6Y8
P38936	P63208
P04150	Q02790
Q09472	P29372
P35637	Q14687
P24522	Q504T8
P60896	O43242
P15884	Q5SY16
P78356	P63208
Q93009	P10071
P40337	P19105
P49841	Q9P0R6
P46531	O75150
P04637	P61956
P35869	O00327
Q09472	P10636
Q8WZ42	Q86TC9
P02545	P55072
Q9Y6Q9	P04150
P38936	P19338
Q9UGL1	Q12834
Q00987	Q9NVN8
P27695	Q96SB4
P02686	O14744
P37840	P25098
Q01844	O95785
P04637	Q01831
P25054	Q2M1P5
Q13573	Q9Y6E2
Q13569	Q13422
P01100	Q96L91
O15350	O14965
Q13573	Q9BRX9
Q09472	Q01105
P29353	Q9Y4H2
P38936	Q9UHX1
Q9H832	Q8IWV7
P53350	P78539
Q93009	Q8WZ73
Q00987	Q15843
P35637	Q9UJV9
P35869	P07900
Q00987	Q12874
Q8N488	O14508
P46527	Q12933
Q01844	Q9Y2I8
P30291	Q99618
P35612	P17612
P11387	Q8IW19
P17096	P02751
Q8WZ42	Q16082
Q01844	P10244
P11387	P17844
P38936	Q969F2
P04637	Q9BVP2
P09651	Q96SB4
P04637	P12931
P24522	Q13569
Q01844	P54727
P38936	Q9HCM9
P14859	P09874
P25963	Q13526
P09651	O14965
Q09472	O00401
Q9NX55	Q93062
P09651	Q09161
Q13541	P42345
P16949	P06753
P04637	Q96S44
Q99801	Q92831
P35637	Q92804
Q01844	P10636
P25963	O60674
P51608	P35713
P04637	Q15788
P19793	P14859
P04637	Q13216
Q93009	Q9UBS0
P35637	P06748
P14859	P51948
Q13573	Q9UQ35
P35637	Q15025
Q00987	Q15233
P49841	P42345
Q09472	Q92786
P04637	Q9H0F5
Q13573	Q01780
P14859	P10827
P49841	Q13561
P08047	Q12756
Q9UKV8	P22087
P00736	P35558
Q00987	Q92619
P02545	P08473
O14733	Q13233
O15350	Q86UW6
Q09161	P02751
P09651	P14866
Q9UER7	Q9NS23
P09651	Q92900
P43351	P04075
P09651	P47897
Q00987	P11836
P27695	P24522
P49841	O14576
Q09161	O14744
P35869	Q16236
P14859	Q02446
Q00987	P07900
P15884	Q96H72
P53350	Q6ZU80
Q9UER7	Q9Y3E7
Q13573	Q86X95
P24522	O14965
Q00987	O43399
P46531	Q13464
P08047	O43186
P63027	Q8TAD4
P09651	P46776
P40337	P07900
P53350	Q01538
P08047	P51532
P49841	Q969Q0
Q01844	P78347
P38936	Q7L5D6
P04637	Q13029
P38936	P55055
Q08209	Q92973
P04637	Q9H4B4
Q01844	Q15910
P15884	O43559
Q13541	P06730
P09651	P04150
Q13573	P33981
Q9Y5B0	Q68E01
Q09472	O95218
P09651	P24522
Q9HAU5	P28340
Q13573	Q12905
P04637	P08670
Q14449	Q9H2K2
Q9UKV8	P07900
Q01844	O60682
P09651	P20700
Q93009	Q9ULU4
P63027	Q8N4C7
P04637	Q9BVJ6
P19793	P08047
P27695	Q9NPQ8
Q9H832	Q75QN2
O15350	Q96J02
Q01844	Q8NDC0
P15884	Q9UER7
Q01844	Q9H147
P24522	P47897
P41236	Q96SB3
P07476	Q96L08
P19793	O15164
Q93009	Q5U5Q3
P38936	Q96FN4
P25054	P33992
P01100	P62195
Q9UBB5	Q96ST3
P53350	P49815
P02545	P09651
P04150	P28702
P01100	Q96EB6
P40337	Q9UNM6
Q93009	P78406
P04818	O95218
P09651	Q9BYD2
P25054	O15234
Q9Y5B0	P30876
Q9UGL1	P56524
P27695	P61978
P04637	Q9BYJ9
P02686	P54259
Q93009	P08151
P23025	Q03468
P14635	P06454
Q9Y6Q9	Q01094
Q09161	Q13618
P04150	P14653
P19793	Q15466
P09651	P04075
Q49AN0	P41250
O15169	Q9BVJ6
P08047	Q9NZU7
P27695	Q9BQA1
P11387	P06748
Q9Y6Q9	P43699
P08047	Q15459
Q08209	Q9H992
Q00987	P61254
Q09472	P15172
P23025	P29084
Q09472	O75128
Q08209	Q08499
Q01844	Q9UKK9
Q93009	Q14204
P35637	Q9BZF9
Q13573	P06400
Q00987	Q7LG56
P35637	O00418
P09651	Q5T750
P09651	P61978
P04150	Q9Y5X4
Q93009	Q9BUZ4
Q13573	O00409
P24522	P15880
Q09161	Q8IUH5
Q01844	Q9H4I2
Q13573	P35250
P24522	P27695
P25054	Q9UBP4
O43464	Q13490
Q01844	P62899
P46531	P50851
P53350	Q9Y2D8
Q13573	O14733
Q13573	P28340
Q9UKV8	Q9HCJ0
P04637	O14744
P52298	Q5VV67
Q9UKV8	P61254
Q01844	Q9NPJ6
P40337	P09651
P35869	Q99549
P09651	Q15418
Q93009	P47985
Q01844	A0FGR9
Q00987	P14866
P38936	O95785
Q9NQB0	Q13363
P60896	Q96ST3
Q93009	P49915
Q08209	Q9NPC6
Q00987	O95863
P35637	P12277
Q9Y5B0	Q9NVH2
P04637	P18754
P78356	O43791
Q13573	Q9UM47
Q9UJY5	Q7Z3U7
Q13573	Q92989
P08047	P20226
Q09472	P49005
Q13573	O60645
P25054	O15169
P25054	Q8N7J2
Q13573	Q15003
P15884	Q09472
P25963	Q15653
P15884	P04637
Q01844	Q9UKJ3
P46531	Q00987
P09651	O96028
P04150	Q99615
P63027	O75396
Q13573	P06401
Q9H832	Q12933
P35637	Q14807
P04637	O00458
P38936	Q9UIM3
P40337	P11388
Q9UKV8	Q92900
P25054	Q6ZU80
P35611	Q9GZQ8
P04637	Q96RR1
Q00987	P04150
Q13573	Q53GS9
Q08209	P53367
Q01844	Q9BQY4
P24522	Q9UHY1
P01100	Q9BT78
P04637	Q14498
Q13573	Q16594
Q93009	Q9UBB9
P35869	O75444
Q00987	P20700
Q8WZ42	P49736
P38936	Q9Y618
P38936	Q53ET0
P19429	P17252
Q00987	Q9HDC9
Q09472	O60566
P27695	Q09472
P17096	P20042
P52298	P42285
P27695	P04637
Q14191	P61956
P41236	Q96C86
Q9UKV8	Q9BY07
Q9HAU5	Q9H1J1
P35637	Q15843
P04637	Q96L91
Q9Y6Q9	P10827
P25963	P49454
P15884	Q9HD26
Q93009	Q9Y6K9
P16949	O15304
Q00987	P15880
Q9UER7	Q00987
Q00987	P19338
Q00987	P55011
Q93009	Q92844
P09651	Q9P227
P04637	O60343
Q09472	Q13516
Q9Y5B0	P61956
P11387	P60896
Q8WZ42	Q9UBL3
P37840	Q9BRK5
Q13541	P49841
P19793	P53350
Q13573	O14965
P09651	P05089
O14733	Q13573
P49841	Q9H2U1
Q02548	P06400
Q00987	O96017
P17096	P23511
P40337	Q13185
P25963	Q9Y618
Q08209	P24588
P40337	Q96KM6
P19793	P20749
P11387	Q05519
P11387	P33992
P40337	P19338
P09651	P04637
P80723	P42858
Q9UJY5	O43747
Q9H832	Q6ZT12
Q93009	Q99501
Q09161	Q9C0B0
P49841	Q92522
P15884	P09874
Q9NX55	Q13263
Q969F2	P38936
P46527	P24864
P40337	O14939
P40337	Q13526
Q9Y6Q9	P22670
Q01844	Q6UUV7
P19793	P11831
Q09472	Q9P2R6
Q9UKV8	P15880
P60896	Q93009
P14635	P46527
P04637	Q99966
Q00987	O15055
P60896	Q5T4S7
P40337	O60674
P49841	Q15459
Q14061	P17931
P46531	P86791
Q13573	Q92900
P37840	Q14289
P29353	Q14289
P54725	Q9H814
P17096	P14859
P19793	P22736
P04637	Q9UNE7
P53350	O96017
Q09472	P62805
P09651	O75147
Q13573	O75533
Q01844	Q9UEE9
P09651	P21333
Q01844	Q9BWU0
Q9H2S9	P25963
Q93009	Q15022
P16949	Q9HAV7
P51608	Q15554
Q9UER7	O43293
Q9UER7	Q08379
P04637	Q99856
P29353	Q8NEM2
Q09472	Q02548
P46531	Q13131
P02545	Q13823
P37840	O14613
P23025	Q9HCS7
P04637	Q05397
Q9UBE0	P04637
Q49AN0	Q99615
Q49AN0	Q14204
P63027	P21579
Q49AN0	P52272
P02545	O95425
Q49AN0	Q969H0
P09651	Q96GA3
Q01844	P00558
P02545	P35658
Q93009	Q9UK80
P02686	Q9Y4K3
P04637	O15105
Q9H2S9	Q96ST3
P49841	Q9Y6R4
Q49AN0	P50991
Q9UER7	Q9NPF5
O43464	O00625
P38936	O75179
Q01844	Q9UJZ1
P54725	Q8IUD2
P04637	P49848
P51608	O96028
Q00987	O96028
Q16143	Q9H4B4
Q09472	P27540
P11387	Q96JC9
P49841	Q08499
P01100	Q7KZ85
P78356	O95218
P17096	P08047
P49841	P16403
Q00987	O75150
P11387	P22087
P25054	O15504
P25054	Q13363
Q9Y6Q9	Q9UMX1
P43351	P49736
Q93009	Q53GL0
P29353	Q96SB3
Q9Y6Q9	Q969G3
Q01844	Q9H1E3
P04150	Q9H5J0
P04150	Q96S59
Q09472	P35222
Q00987	O15350
P27695	P39687
P04150	Q6ZNC8
P37840	Q8N5U6
Q00987	Q01094
P11387	P49756
O15169	O15105
P09651	Q14151
P08047	Q9Y618
Q00987	P29401
Q09472	P18146
Q93009	P10276
P61328	Q96SB4
Q01844	Q02790
O15350	O60341
P29353	P08473
P35637	Q8IX18
P35612	Q9UHK0
Q13573	Q8IWX8
P78356	Q9NPJ6
Q00987	P62913
P08047	P19793
P11387	Q15233
Q13573	P61978
Q09161	Q15428
P38936	O15151
P35637	Q96SB4
Q00987	Q14676
Q93009	Q9Y496
P40337	P29401
P04637	P20042
P60896	Q15843
P53350	Q8N5L8
Q13573	Q9HAU5
P02545	Q9NQW6
Q09161	Q86VP6
Q9HAU5	P62917
P63027	Q9UHK0
P40337	P62913
P35637	O14965
Q08209	Q96E09
P23025	Q01831
Q13573	P41212
Q00987	Q9NS23
P49841	Q9UKY1
P49841	Q12931
O15169	Q9NTX7
P24522	Q04724
P35637	Q6NXR4
Q00987	Q8TEX9
Q9UKV8	P62913
O76070	Q9NYB0
P04637	P23511
P15884	Q969G3
P40337	Q9BQG0
Q9UGL1	O43172
P46531	Q92831
P09651	P17096
P35637	P14866
Q01844	Q9HB71
P01100	P20749
P14635	Q8TES7
Q01844	Q96CX2
P23025	P12931
Q13573	O60508
Q00987	P62851
Q93009	Q15435
Q13573	P54619
Q9UBE0	P04818
P09651	Q14690
P09651	Q86U42
P35869	Q9Y618
Q9UKV8	Q8TEX9
Q8N488	Q969R5
Q00987	Q02218
P04150	Q58WW2
P04637	Q14061
Q13573	Q7Z5K2
O15169	Q5T5U3
Q8N488	Q93009
Q00987	Q07020
Q9UKV8	P55265
Q09472	P51668
Q08209	P61758
Q09161	O95793
P38936	P14635
P14635	Q9UM13
Q9Y5B0	O14744
Q00987	P62888
Q93009	O43684
Q13573	P62424
P04150	Q99933
P04637	Q13263
P53350	Q86VQ0
P09651	Q9NYY8
P25963	Q99759
Q09472	Q9UBS0
P08047	P47756
O15169	O14976
P37840	Q8NI35
P04150	P40424
Q9UGL1	Q8NFD5
P09651	Q9UMX1
P40337	P62888
P53350	Q9NYZ3
P38936	P07199
P14635	Q86VP6
P14635	P08047
P04637	Q9BT78
P37840	Q12967
P09651	P06396
Q09472	Q04864
Q01844	P43243
O43464	Q96CA5
P38936	Q13432
P46531	Q06330
Q09161	Q9BXP5
P02545	Q9Y2U8
O15350	Q9H0E9
Q9UKV8	Q07020
P01100	Q5M9N0
O15350	Q9UKL3
Q00987	Q86V81
P24592	Q9NRR5
P49841	Q9H095
Q9HAU5	Q9NS87
Q9UKV8	P42766
P54725	Q15008
P04637	Q06945
P40337	P61247
P46531	Q92585
P14635	Q7LFX5
P09651	P62241
Q9HAU5	Q8N5A5
O43464	Q04637
P09651	P12956
Q9Y5B0	Q75QN2
P53350	P33993
Q08209	Q14318
P49841	Q5VWQ8
Q9UER7	Q12834
P80723	Q14134
P01100	P43694
Q13573	Q5SW96
O15169	P98082
Q93009	Q9UER7
P04150	Q00839
P01100	Q13613
P14635	Q8N4C6
P24522	Q00987
P35637	P04075
P04637	P08047
Q9NQC3	Q9Y478
P04637	Q13098
Q9Y6Q9	Q99743
P04637	P85037
P04637	O14497
Q01844	Q15032
P08047	P22059
Q01844	Q96AG4
P04637	O15164
P61244	Q96L91
P49841	O75474
Q01844	Q9UBS0
P37840	Q99549
P49841	P10636
P02545	Q96Q15
P37840	P17600
P61244	P15923
P38936	Q8IY67
Q9UJY5	Q13541
Q9NQC3	P15927
P25963	O14543
Q9HAU5	P04818
P11387	P14866
P04818	Q8NA72
P08047	P29590
P49841	P19793
Q13573	P35268
P35637	P61978
P17096	P11831
Q13573	O75147
P30291	Q5VT06
Q9UKV8	P38919
P63027	Q86X19
P54725	Q00987
P49841	Q01844
P40337	O15457
Q01844	Q6VMQ6
P01100	Q9Y6Q9
Q9HAU5	Q9UG63
P37840	Q13526
P04637	Q8N4C6
P04637	Q13227
P37840	Q07812
Q09472	Q3SY56
P04637	Q06609
P41236	Q01844
P04637	Q15466
P11387	P11388
P04637	Q9Y222
O14733	Q8TD17
P15884	Q13541
P35637	Q15418
P04637	Q9UNF1
P38936	Q6P2Q9
P04637	P18146
P78356	Q6P2Q9
P54725	Q9UKN8
Q13573	P33993
Q00987	Q96K58
Q00987	P62879
P37840	Q9UL15
P25963	Q13233
P04150	Q9UER7
Q9NQC3	P54920
Q8WZ42	Q96CV9
P25054	P35658
P01100	Q12874
Q9HAU5	Q9Y3A4
Q13573	Q86YP4
Q09472	Q99081
P29353	O00193
O15169	Q8N4C6
O15169	Q9NYF0
P15884	Q9UK41
O15350	P54278
P16949	P15408
P35637	O96028
P02686	Q16512
Q13573	P48444
P11387	P19338
P35637	Q96KD3
Q9HAU5	Q96GM5
P60896	Q13523
P16949	P40337
O15350	P20248
Q09161	P18615
P53350	Q96FF9
P08047	P14635
Q00987	Q99836
P15884	P50553
P27695	Q9NYB0
Q93009	Q53GI3
Q02548	Q09472
Q13541	O95835
P02545	P29590
P04637	Q8WUF5
Q00987	P06396
O15350	P25208
Q13573	P12081
P04637	P42704
P43351	P07900
P35637	O15350
P19429	Q9P0L9
P51608	O00358
P09651	P47929
P04637	P06748
Q9UBB5	Q9BQA1
Q14061	Q7L5N1
P49841	P13807
Q01101	Q13368
P08047	Q9GZR1
P04637	Q9UM11
Q93009	O60437
Q13573	Q9UG63
P04637	O60481
P08047	P06753
P40337	Q96FV9
P40337	P20290
P46531	P49841
P25054	Q9UP83
P46531	Q13573
P14635	P53350
P53350	Q00987
